 ,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"114 ,Fireworks offences",0,1,3,38,250,333,428,460,343,267,146,113,92,132,184
"12 ,Damage to property and to the environment",34024,37040,39718,43588,43275,44339,41916,38815,35146,32138,28698,27337,25946,22198,23225
"1211 ,Arson",1419,1501,1415,1660,2095,2299,3007,2573,2304,2118,1914,1723,1722,1603,1702
"1212 ,Criminal damage (not arson)",32518,35433,38175,41788,40967,41736,38663,36005,32610,29732,26567,25366,24049,20429,21366
"1221 ,Litter offences",87,106,128,140,213,304,246,237,232,288,217,248,175,166,157
"13 ,Public order and other social code offences",45140,47780,55486,56598,60694,62068,57484,54855,48952,43790,36394,32620,33269,29225,31210
"131 ,Disorderly conduct",37663,38225,42429,47248,51335,53578,49546,47299,42077,37323,30810,26807,25505,24100,25356
"132 ,Trespass offences",1439,1567,1842,2362,3041,3723,3836,3807,3552,3321,2941,2816,2741,2086,2375
"133 ,Liquor licensing offences",4342,6688,9684,5648,4917,3851,3266,2765,2313,1902,1378,1272,1081,905,830
"134 ,Prostitution offences",196,219,85,105,110,131,94,184,218,142,119,129,56,34,39
"135 ,Regulated betting/money, collection/trading offences",304,317,370,417,542,430,458,423,297,296,320,292,289,208,211
"136 ,Social code offences (n.e.c.)",1196,764,1076,818,749,355,284,377,495,806,826,1304,3597,1892,2399
"15 ,Offences against government, justice procedures and organisation of crime",6834,6455,7786,9474,10915,13188,11747,11189,10013,9431,9168,9762,11440,12308,13733
"151 ,Offences against government and its agents",198,165,147,237,341,341,531,335,448,274,278,325,283,253,181
"152 ,Organisation of crime and conspiracy to commit crime",11,16,5,19,10,11,5,18,22,6,4,4,10,5,9
"153 ,Perverting the course of justice",247,263,225,249,192,174,146,99,90,100,62,55,59,52,56
"157 ,Offences while in custody, breach of court orders",6378,6011,7409,8969,10372,12662,11065,10737,9453,9051,8824,9378,11088,11998,13487
