Date,Location,Gender,Count, Abandoning a child child neglect and cruelty, Abduction of person under  years of age, Aggravated burglary, Aggravated sexual assault, Arson, Assault causing harm poisoning, Attempts/threats to murder assaults harassments and related offences, Blackmail or extortion, Burglary (not aggravated), Burglary and related offences, Carjacking hijacking/unlawful seizure of aircraft/vessel, Controlled drug offences, Criminal damage (not arson), Cultivation or manufacture of drugs, Damage to property and to the environment, Dangerous driving causing serious bodily harm, Dangerous driving leading to death, Dangerous or negligent acts, Defilement of a boy or girl less than  years old, Discharging a firearm, Disorderly conduct, Driving/in charge of a vehicle under the influence of drugs, Driving/in charge of a vehicle while over legal alcohol limit, Endangering traffic offences, Endangerment with potential for serious harm/death, Explosives chemical weapons offences, False alarm/interference with aircraft or air transport facilities, False imprisonment, Fireworks offences, Fraud deception and related offences, Harassment and related offences, Homicide offences, Human trafficking offences, Importation of drugs, Infanticide, Kidnapping and related offences, Liquor licensing offences, Litter offences, Manslaughter, Murder, Murder-attempt, Murder-threat, Offences against government and its agents, Offences against government justice procedures and organisation of crime, Offences while in custody breach of court orders, Offensive weapons offences (n.e.c.), Organisation of crime and conspiracy to commit crime, Other assault, Other drug offences, Other sexual offences, Other thefts handling stolen property, Perverting the course of justice, Possession of a firearm, Possession of an article (with intent to burgle steal demand), Possession of drugs for personal use, Possession of drugs for sale or supply, Prostitution offences, Public order and other social code offences, Rape of a male or female, Regulated betting/money collection/trading offences, Robbery extortion and hijacking offences, Robbery from the person, Robbery of an establishment or institution, Robbery of cash or goods in transit, Sexual assault (not aggravated), Sexual offence involving mentally impaired person, Sexual offences, Social code offences (n.e.c.), Theft and related offences, Theft from person, Theft from shop, Theft/taking of vehicle and related offences, Trespass offences, Unseaworthy/dangerous use of boat or ship, Weapons and Explosives Offences,Month,Unemploy.u25,Unemploy.25+,Unemploy.allages
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,4,14.1,38.5,24.4
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,5,14.1,36.9,22.9
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,6,14.3,35.3,21
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,7,15.6,36.1,20.5
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,8,15.9,36.7,20.8
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,9,16.6,38.8,22.2
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,10,15.2,40,24.8
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,11,14.7,40.1,25.4
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,12,14.7,40.6,25.9
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,1,21.9,59.7,37.8
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,2,21.8,60.5,38.7
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,3,21.8,60.7,38.9
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,4,20.6,58.4,37.8
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,5,20.3,57.1,36.9
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,6,20.8,56.2,35.4
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,7,19.9,54.2,34.3
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,8,20.3,54.1,33.8
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,9,21.1,55.5,34.4
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,10,21.8,57.3,35.6
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,11,21.8,57.2,35.4
2004,Not Specified,Not Specified,493,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155,12,21.3,56.3,35
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,1,34.2,92,57.8
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,2,33.7,90.4,56.7
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,3,34.9,95.2,60.3
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,4,36.2,100.5,64.3
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,5,37.3,104.6,67.3
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,6,37.5,104.2,66.6
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,7,37.5,102.4,64.9
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,8,37.6,101.2,63.7
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,9,37,99,62
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,10,36.2,98,61.7
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,11,36.2,98.7,62.5
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,12,36.7,100,63.3
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,1,14.5,39.1,24.6
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,2,14.7,39.1,24.4
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,3,14.7,41.1,26.4
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,4,14.4,42.2,27.8
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,5,14.6,43.8,29.2
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,6,14.8,43.7,28.9
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,7,15,43.4,28.4
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,8,15.2,43.2,28.1
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,9,15.1,42.2,27.1
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,10,14.5,41.8,27.2
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,11,14.7,42.8,28.1
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,12,14.7,43.6,28.9
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,1,19.7,52.9,33.2
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,2,18.9,51.2,32.3
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,3,20.2,54.1,34
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,4,21.8,58.3,36.5
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,5,22.7,60.8,38.1
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,6,22.8,60.5,37.7
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,7,22.5,59,36.5
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,8,22.4,58,35.6
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,9,21.9,56.8,34.9
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,10,21.7,56.2,34.5
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,11,21.5,55.9,34.4
2005,Not Specified,Not Specified,481,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554,12,22,56.4,34.4
2006,Not Specified,Not Specified,460,300,12,285,16,1660,4007,15556,11,24298,24817,90,14231,41788,91,43588,24,78,19199,70,297,47248,117,18521,151,70,166,16,70,38,4336,1669,150,0,43,0,82,5648,140,12,60,8,97,237,9474,8969,2203,19,9775,606,59,38835,249,420,234,10492,2999,105,56598,366,417,2489,1254,1103,31,914,15,1440,818,74515,3591,18433,13656,2362,0,3124,1,38,102.9,64.9
2006,Not Specified,Not Specified,460,300,12,285,16,1660,4007,15556,11,24298,24817,90,14231,41788,91,43588,24,78,19199,70,297,47248,117,18521,151,70,166,16,70,38,4336,1669,150,0,43,0,82,5648,140,12,60,8,97,237,9474,8969,2203,19,9775,606,59,38835,249,420,234,10492,2999,105,56598,366,417,2489,1254,1103,31,914,15,1440,818,74515,3591,18433,13656,2362,0,3124,2,38.6,103.1,64.4
2006,Not Specified,Not Specified,460,300,12,285,16,1660,4007,15556,11,24298,24817,90,14231,41788,91,43588,24,78,19199,70,297,47248,117,18521,151,70,166,16,70,38,4336,1669,150,0,43,0,82,5648,140,12,60,8,97,237,9474,8969,2203,19,9775,606,59,38835,249,420,234,10492,2999,105,56598,366,417,2489,1254,1103,31,914,15,1440,818,74515,3591,18433,13656,2362,0,3124,3,38.9,103.1,64.2
2006,Not Specified,Not Specified,460,300,12,285,16,1660,4007,15556,11,24298,24817,90,14231,41788,91,43588,24,78,19199,70,297,47248,117,18521,151,70,166,16,70,38,4336,1669,150,0,43,0,82,5648,140,12,60,8,97,237,9474,8969,2203,19,9775,606,59,38835,249,420,234,10492,2999,105,56598,366,417,2489,1254,1103,31,914,15,1440,818,74515,3591,18433,13656,2362,0,3124,4,38.9,103.3,64.3
