"Date","Location","18-24","25-44","45-64","65+","U18","Female","Male","Transgender","DNAA","DSH","DSH ","SA Only","SA/DSH","SI Only","SI/DSH","SI/SA","SI/SA/DSH"
2016,"Wexford",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Ballyfermot",140,153,70,9,141,271,236,6,7,35,0,3,3,182,82,116,85
2017,"Collins.Ave",10,19,3,0,13,19,7,0,3,0,0,0,1,19,6,11,5
2017,"Cork",353,315,116,9,350,645,496,2,63,44,0,12,8,492,192,210,122
2017,"Finglas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Galway.City",2,6,4,0,14,19,7,0,0,0,0,1,0,11,5,4,5
2017,"Kerry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Limerick",154,181,100,10,130,312,263,0,16,23,0,4,2,188,93,129,120
2017,"Lucan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Midlands",16,12,7,0,18,33,20,0,7,6,0,1,0,6,9,9,15
2017,"North.Dublin",294,291,95,3,346,591,436,2,31,93,0,3,3,467,214,137,81
2017,"North.West",38,50,25,2,26,68,72,1,23,7,0,3,0,52,29,19,8
2017,"Pieta.House",336,417,171,20,570,839,666,9,42,62,0,5,3,709,290,257,146
2017,"Roscrea",48,50,36,4,60,102,96,0,22,7,0,3,0,64,40,28,34
2017,"South.East",98,86,54,6,113,33,20,0,19,19,0,4,2,119,47,74,73
2017,"Tallaght",174,201,62,8,236,404,274,3,44,25,0,4,2,209,150,120,127
2017,"Tralee",73,125,61,10,95,236,127,1,22,16,0,9,1,135,68,47,66
2017,"West",74,100,53,8,61,144,151,1,16,12,0,2,2,123,36,71,34
2017,"Wexford",29,31,21,2,32,62,53,0,14,6,0,0,2,32,17,19,25
