x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
 , ,Wexford,1,5,5,4,6,2,7,4,3,5,9,10,7,8,15,12,11,15,14,16,20,17,15,20,10,18,15,18,16,13,14,24,26,18
 , ,Wicklow,3,5,4,3,1,2,2,2,5,5,6,4,8,6,5,6,9,13,15,16,6,7,13,14,12,10,16,8,9,12,13,13,8,4
 , ,Clare,2,4,4,3,5,11,9,4,9,6,11,8,7,16,6,13,17,7,14,10,5,9,15,9,12,10,9,14,11,13,7,12,11,12
 , ,Cork,23,20,28,30,35,36,32,24,30,34,33,33,29,34,48,42,52,64,63,37,57,82,46,56,49,55,63,52,68,66,50,65,53,47
 , ,Kerry,5,8,7,7,5,10,16,9,13,6,10,11,16,8,16,13,14,16,20,18,15,17,11,16,13,11,14,12,13,24,19,18,32,27
 , ,Limerick,6,9,13,15,13,12,15,13,14,22,15,13,12,17,14,7,15,12,24,22,28,15,22,24,25,17,10,17,11,20,25,25,28,13
 , ,North Tipperary,4,3,0,2,1,4,5,4,4,5,2,5,7,4,6,5,5,7,5,6,6,8,9,11,12,9,9,5,9,14,6,8,5,6
 , ,South Tipperary,1,5,5,4,2,3,7,6,5,8,7,6,6,3,8,11,8,8,11,10,10,11,10,5,9,8,8,8,10,11,11,10,12,12
 , ,Waterford,0,3,3,3,3,11,7,12,2,10,13,6,9,13,12,6,7,13,9,8,10,15,8,10,18,11,9,10,12,15,11,13,11,9
 , ,Galway,9,12,19,14,8,12,10,13,5,10,21,16,15,11,16,24,20,25,25,15,15,19,23,22,15,22,19,11,23,25,22,27,22,24
 , ,Leitrim,4,0,4,5,3,4,1,3,1,2,1,8,5,1,2,2,2,5,5,4,4,4,5,0,8,6,2,1,3,3,5,4,2,0
 , ,Mayo,7,14,7,5,8,11,6,8,7,7,9,6,18,6,11,9,11,13,13,11,13,15,16,10,11,11,13,17,6,14,16,16,22,14
 , ,Roscommon,0,1,6,3,4,8,2,7,5,2,7,4,2,4,4,8,2,7,7,5,5,4,4,2,2,8,9,8,4,3,8,4,5,9
 , ,Sligo,4,0,4,4,1,1,5,1,2,2,3,7,3,8,4,5,3,2,10,6,3,8,3,7,8,7,3,2,4,6,7,6,4,4
 , ,Cavan,4,5,1,5,4,4,2,1,4,5,4,7,7,4,6,8,9,11,4,4,6,7,8,4,9,11,9,11,10,6,6,7,7,11
 , ,Donegal,5,3,4,4,5,4,11,3,4,6,11,9,12,15,5,13,11,13,14,12,10,12,17,13,11,13,12,9,14,17,5,10,12,13
 , ,Monaghan,2,2,3,4,2,2,2,7,6,3,3,6,10,4,7,4,10,5,7,5,10,2,4,12,7,6,3,6,6,6,7,4,8,6
 , ,All counties and regions,143,158,178,202,164,216,217,185,195,213,251,283,304,260,305,321,345,386,433,358,395,429,387,386,406,382,379,362,386,443,405,458,445,396
 ,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,Carlow,3,0,2,1,0,0,1,1,1,1,3,0,0,0,4,1,0,0,0,1,1,0,0,2,0,3,1,1,3,1,0,0,0,2
 , ,Dublin City and County,26,25,29,27,31,14,15,19,18,15,26,23,15,19,31,30,20,20,25,34,22,30,26,30,20,25,21,26,29,28,23,21,28,21
 , ,Kildare,3,0,1,1,2,2,1,2,1,2,0,2,1,2,1,1,3,3,0,3,7,2,2,1,1,4,4,3,7,4,4,3,8,6
 , ,Kilkenny,1,0,1,1,2,1,1,1,2,3,2,0,2,1,4,2,0,0,3,1,3,0,0,1,0,1,1,0,4,1,2,3,1,0
 , ,Laois,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,3,0,1,1,1,1,2,0,1,0,0,3,3,2,2,2,3,1,0
 , ,Longford,0,1,0,1,1,0,1,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,2,0,3,1,0,0,0,2,1,0,0,1
 , ,Louth,1,0,0,0,0,1,2,2,1,1,1,3,1,0,3,1,1,4,2,2,2,0,4,2,5,1,0,2,2,3,4,1,2,2
 , ,Meath,3,2,1,3,2,2,2,1,0,1,2,3,0,0,2,3,3,2,2,4,1,2,6,1,5,2,5,1,10,4,1,1,4,4
 , ,Offaly,0,1,1,0,1,3,0,0,1,1,2,0,1,1,2,1,0,2,1,4,2,1,0,4,2,1,3,1,4,3,5,1,2,0
 , ,Westmeath,1,0,1,4,2,1,0,0,2,2,4,1,0,0,0,2,3,0,3,0,3,1,0,1,1,2,0,6,1,4,1,2,0,0
 , ,Wexford,1,0,1,2,0,1,0,1,0,1,2,3,0,2,1,4,1,6,4,0,3,2,2,2,1,6,1,3,2,6,2,5,7,5
 , ,Wicklow,0,3,0,6,0,0,0,0,3,0,3,1,1,1,2,3,1,1,3,1,3,2,2,1,2,7,2,1,4,3,2,4,2,1
 , ,Clare,0,2,2,2,2,0,2,4,3,2,3,4,1,4,1,1,1,3,1,2,3,4,1,6,5,2,3,3,4,5,1,1,4,2
 , ,Cork,17,12,6,12,5,12,17,9,7,9,13,7,10,6,9,8,14,18,11,16,10,18,16,24,11,12,10,11,14,14,16,13,11,9
 , ,Kerry,2,2,3,3,3,2,2,2,6,9,4,1,3,5,6,3,1,1,6,1,5,3,2,3,4,5,0,0,2,5,5,8,0,1
 , ,Limerick,4,1,4,2,1,6,4,1,4,3,3,3,4,2,6,4,3,6,4,4,4,1,8,4,3,7,6,6,5,4,2,6,6,7
 , ,North Tipperary,2,1,0,1,1,1,3,1,1,0,0,1,2,0,0,0,2,0,1,4,3,2,2,4,2,0,5,1,1,1,0,2,0,0
 , ,South Tipperary,0,1,1,1,2,1,3,2,1,2,3,0,1,1,1,0,1,1,3,2,1,2,1,5,1,0,0,4,1,3,2,2,1,0
 , ,Waterford,0,2,2,1,1,2,2,1,4,3,0,0,5,5,1,3,1,5,2,3,2,2,4,4,5,1,2,2,3,3,2,1,0,0
 , ,Galway,3,3,3,2,2,3,4,5,6,1,6,2,6,2,4,6,3,8,3,8,5,4,3,4,4,7,3,7,6,3,5,10,6,4
 , ,Leitrim,0,1,1,3,2,0,1,2,0,0,1,1,0,1,2,0,0,1,0,0,0,2,2,0,2,1,0,1,1,1,1,2,1,0
 , ,Mayo,2,3,0,2,0,2,0,1,1,2,1,1,2,3,3,3,1,3,3,2,4,2,2,2,1,2,3,6,4,3,2,1,3,2
 , ,Roscommon,1,2,0,1,1,0,1,0,2,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,2,3,2,2,2,1,2,3
 , ,Sligo,0,1,3,1,1,2,1,1,2,1,0,3,0,2,1,2,2,1,2,0,0,2,1,0,3,1,2,1,1,0,2,1,3,0
 , ,Cavan,0,1,0,1,0,0,2,1,1,2,0,0,2,1,1,1,0,0,0,0,1,2,2,1,3,2,1,1,1,1,1,1,0,4
 , ,Donegal,1,1,1,2,2,1,0,2,2,1,3,0,0,5,2,1,1,4,0,2,3,3,3,6,3,4,2,3,6,2,1,3,0,2
 , ,Monaghan,2,0,0,0,4,2,1,0,1,1,1,3,0,1,2,0,2,2,1,0,1,0,0,1,0,1,1,0,1,1,1,0,4,3
 , ,All counties and regions,73,65,63,80,68,60,66,60,71,65,83,63,59,67,90,83,64,92,81,97,91,90,91,111,87,99,81,96,120,109,90,96,96,79
