Date,Location,18-24,25-44,45-64,65+,U18,Female,Male,Transgender,DNAA,DSH,DSH ,SA Only,SA/DSH,SI Only,SI/DSH,SI/SA,SI/SA/DSH,Crime,Recorded Crimes,Month,Unemploy.Gender,Unemploy.u25,Unemploy.25+,Unemploy.allages
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Theft from person,6467,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Theft from shop,20553,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Other thefts handling stolen property,44050,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Fraud deception and related offences,4788,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Controlled drug offences,15325,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Importation of drugs,44,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Cultivation or manufacture of drugs,390,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Possession of drugs for sale or supply,3241,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Possession of drugs for personal use,11160,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Other drug offences,490,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Weapons and Explosives Offences,2738,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Explosives chemical weapons offences,59,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Discharging a firearm,162,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Possession of a firearm,193,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Offensive weapons offences (n.e.c.),2178,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Fireworks offences,146,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Damage to property and to the environment,28698,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Arson,1914,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Criminal damage (not arson),26567,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Litter offences,217,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Public order and other social code offences,36394,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Disorderly conduct,30810,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Trespass offences,2941,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Liquor licensing offences,1378,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Prostitution offences,119,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Regulated betting/money collection/trading offences,320,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Social code offences (n.e.c.),826,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Offences against government justice procedures and organisation of crime,9168,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Offences against government and its agents,278,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Organisation of crime and conspiracy to commit crime,4,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Perverting the course of justice,62,0,0,0,0,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Offences while in custody breach of court orders,8824,0,0,0,0,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Homicide offences,95,0,0,0,0,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Murder,51,0,0,0,0,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Manslaughter,7,0,0,0,0,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Infanticide,0,0,0,0,0,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dangerous driving leading to death,37,0,0,0,0,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Sexual offences,1908,0,0,0,0,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Rape of a male or female,392,0,0,0,0,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Defilement of a boy or girl less than  years old,87,0,0,0,0,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Sexual offence involving mentally impaired person,12,0,0,0,0,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Aggravated sexual assault,9,0,0,0,0,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Sexual assault (not aggravated),1281,0,0,0,0,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Other sexual offences,127,0,0,0,0,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Attempts/threats to murder assaults harassments and related offences,14365,0,0,0,0,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Murder-attempt,13,0,0,0,0,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Murder-threat,334,0,0,0,0,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Harassment and related offences,1504,0,0,0,0,0
2013,Collins.Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Assault causing harm poisoning,3071,0,0,0,0,0
