"Gender","Unemployment Age","Unemployment Year","Month","Unemployment Rate"
"Female","25 - 74 years","1999","05",30.1
"Both","15 - 24 years","1999","06",37.6
"Both","15 - 74 years","1999","06",106.3
"Both","25 - 74 years","1999","06",68.8
"Male","15 - 24 years","1999","06",21.1
"Male","15 - 74 years","1999","06",61.1
"Male","25 - 74 years","1999","06",40
"Female","15 - 24 years","1999","06",16.4
"Female","15 - 74 years","1999","06",45.2
"Female","25 - 74 years","1999","06",28.8
"Both","15 - 24 years","1999","07",36.2
"Both","15 - 74 years","1999","07",102.2
"Both","25 - 74 years","1999","07",66
"Male","15 - 24 years","1999","07",20
"Male","15 - 74 years","1999","07",58.4
"Male","25 - 74 years","1999","07",38.4
"Female","15 - 24 years","1999","07",16.2
"Female","15 - 74 years","1999","07",43.8
"Female","25 - 74 years","1999","07",27.7
"Both","15 - 24 years","1999","08",35.3
"Both","15 - 74 years","1999","08",99
"Both","25 - 74 years","1999","08",63.7
"Male","15 - 24 years","1999","08",19.5
"Male","15 - 74 years","1999","08",55.9
"Male","25 - 74 years","1999","08",36.4
"Female","15 - 24 years","1999","08",15.8
"Female","15 - 74 years","1999","08",43.1
"Female","25 - 74 years","1999","08",27.3
"Both","15 - 24 years","1999","09",35.3
"Both","15 - 74 years","1999","09",99.7
"Both","25 - 74 years","1999","09",64.3
"Male","15 - 24 years","1999","09",19.6
"Male","15 - 74 years","1999","09",55.5
"Male","25 - 74 years","1999","09",35.9
"Female","15 - 24 years","1999","09",15.8
"Female","15 - 74 years","1999","09",44.2
"Female","25 - 74 years","1999","09",28.4
"Both","15 - 24 years","1999","10",34.6
"Both","15 - 74 years","1999","10",100.6
"Both","25 - 74 years","1999","10",66
"Male","15 - 24 years","1999","10",19.6
"Male","15 - 74 years","1999","10",55.3
"Male","25 - 74 years","1999","10",35.7
"Female","15 - 24 years","1999","10",15
"Female","15 - 74 years","1999","10",45.3
"Female","25 - 74 years","1999","10",30.3
"Both","15 - 24 years","1999","11",34
"Both","15 - 74 years","1999","11",98.5
"Both","25 - 74 years","1999","11",64.6
"Male","15 - 24 years","1999","11",19.3
"Male","15 - 74 years","1999","11",54.1
"Male","25 - 74 years","1999","11",34.9
"Female","15 - 24 years","1999","11",14.7
"Female","15 - 74 years","1999","11",44.4
"Female","25 - 74 years","1999","11",29.7
"Both","15 - 24 years","1999","12",33.1
"Both","15 - 74 years","1999","12",96.2
"Both","25 - 74 years","1999","12",63
"Male","15 - 24 years","1999","12",18.5
"Male","15 - 74 years","1999","12",53.1
"Male","25 - 74 years","1999","12",34.7
"Female","15 - 24 years","1999","12",14.6
"Female","15 - 74 years","1999","12",43
"Female","25 - 74 years","1999","12",28.4
"Both","15 - 24 years","2000","01",32.4
"Both","15 - 74 years","2000","01",92.2
"Both","25 - 74 years","2000","01",59.8
"Male","15 - 24 years","2000","01",17.6
"Male","15 - 74 years","2000","01",51.5
"Male","25 - 74 years","2000","01",33.9
