"Crime Date","Crime","Recorded Crimes"
"2012"," Controlled drug offences",16380
"2012"," Importation of drugs",30
"2012"," Cultivation or manufacture of drugs",513
"2012"," Possession of drugs for sale or supply",3459
"2012"," Possession of drugs for personal use",11796
"2012"," Other drug offences",582
"2012"," Weapons and Explosives Offences",3042
"2012"," Explosives chemical weapons offences",90
"2012"," Discharging a firearm",143
"2012"," Possession of a firearm",246
"2012"," Offensive weapons offences (n.e.c.)",2296
"2012"," Fireworks offences",267
"2012"," Damage to property and to the environment",32138
"2012"," Arson",2118
"2012"," Criminal damage (not arson)",29732
"2012"," Litter offences",288
"2012"," Public order and other social code offences",43790
"2012"," Disorderly conduct",37323
"2012"," Trespass offences",3321
"2012"," Liquor licensing offences",1902
"2012"," Prostitution offences",142
"2012"," Regulated betting/money collection/trading offences",296
"2012"," Social code offences (n.e.c.)",806
"2012"," Offences against government justice procedures and organisation of crime",9431
"2012"," Offences against government and its agents",274
"2012"," Organisation of crime and conspiracy to commit crime",6
"2012"," Perverting the course of justice",100
"2012"," Offences while in custody breach of court orders",9051
"2013"," Homicide offences",95
"2013"," Murder",51
"2013"," Manslaughter",7
"2013"," Infanticide",0
"2013"," Dangerous driving leading to death",37
"2013"," Sexual offences",1908
"2013"," Rape of a male or female",392
"2013"," Defilement of a boy or girl less than  years old",87
"2013"," Sexual offence involving mentally impaired person",12
"2013"," Aggravated sexual assault",9
"2013"," Sexual assault (not aggravated)",1281
"2013"," Other sexual offences",127
"2013"," Attempts/threats to murder assaults harassments and related offences",14365
"2013"," Murder-attempt",13
"2013"," Murder-threat",334
"2013"," Harassment and related offences",1504
"2013"," Assault causing harm poisoning",3071
"2013"," Other assault",9443
"2013"," Dangerous or negligent acts",7495
"2013"," Dangerous driving causing serious bodily harm",12
"2013"," Driving/in charge of a vehicle while over legal alcohol limit",6752
"2013"," Driving/in charge of a vehicle under the influence of drugs",265
"2013"," Endangerment with potential for serious harm/death",69
"2013"," Abandoning a child child neglect and cruelty",226
"2013"," Unseaworthy/dangerous use of boat or ship",2
"2013"," False alarm/interference with aircraft or air transport facilities",4
"2013"," Endangering traffic offences",165
"2013"," Kidnapping and related offences",121
"2013"," False imprisonment",80
"2013"," Abduction of person under  years of age",25
"2013"," Human trafficking offences",16
"2013"," Robbery extortion and hijacking offences",2796
"2013"," Robbery of an establishment or institution",988
"2013"," Robbery of cash or goods in transit",39
"2013"," Robbery from the person",1678
"2013"," Blackmail or extortion",25
"2013"," Carjacking hijacking/unlawful seizure of aircraft/vessel",66
"2013"," Burglary and related offences",26297
"2013"," Aggravated burglary",299
"2013"," Burglary (not aggravated)",25316
"2013"," Possession of an article (with intent to burgle steal demand)",682
"2013"," Theft and related offences",78428
"2013"," Theft/taking of vehicle and related offences",7358
"2013"," Theft from person",6467
"2013"," Theft from shop",20553
"2013"," Other thefts handling stolen property",44050
"2013"," Fraud deception and related offences",4788
"2013"," Controlled drug offences",15325
"2013"," Importation of drugs",44
"2013"," Cultivation or manufacture of drugs",390
"2013"," Possession of drugs for sale or supply",3241
"2013"," Possession of drugs for personal use",11160
"2013"," Other drug offences",490
"2013"," Weapons and Explosives Offences",2738
"2013"," Explosives chemical weapons offences",59
"2013"," Discharging a firearm",162
"2013"," Possession of a firearm",193
"2013"," Offensive weapons offences (n.e.c.)",2178
"2013"," Fireworks offences",146
"2013"," Damage to property and to the environment",28698
"2013"," Arson",1914
"2013"," Criminal damage (not arson)",26567
"2013"," Litter offences",217
"2013"," Public order and other social code offences",36394
"2013"," Disorderly conduct",30810
"2013"," Trespass offences",2941
"2013"," Liquor licensing offences",1378
"2013"," Prostitution offences",119
"2013"," Regulated betting/money collection/trading offences",320
"2013"," Social code offences (n.e.c.)",826
"2013"," Offences against government justice procedures and organisation of crime",9168
"2013"," Offences against government and its agents",278
"2013"," Organisation of crime and conspiracy to commit crime",4
"2013"," Perverting the course of justice",62
"2013"," Offences while in custody breach of court orders",8824
"2014"," Homicide offences",105
"2014"," Murder",52
"2014"," Manslaughter",7
"2014"," Infanticide",0
"2014"," Dangerous driving leading to death",46
"2014"," Sexual offences",1969
"2014"," Rape of a male or female",480
"2014"," Defilement of a boy or girl less than  years old",126
"2014"," Sexual offence involving mentally impaired person",12
"2014"," Aggravated sexual assault",5
"2014"," Sexual assault (not aggravated)",1241
"2014"," Other sexual offences",105
"2014"," Attempts/threats to murder assaults harassments and related offences",15155
"2014"," Murder-attempt",15
"2014"," Murder-threat",415
"2014"," Harassment and related offences",1495
"2014"," Assault causing harm poisoning",3162
"2014"," Other assault",10068
"2014"," Dangerous or negligent acts",7232
"2014"," Dangerous driving causing serious bodily harm",13
"2014"," Driving/in charge of a vehicle while over legal alcohol limit",6481
"2014"," Driving/in charge of a vehicle under the influence of drugs",265
"2014"," Endangerment with potential for serious harm/death",73
"2014"," Abandoning a child child neglect and cruelty",248
"2014"," Unseaworthy/dangerous use of boat or ship",1
"2014"," False alarm/interference with aircraft or air transport facilities",5
"2014"," Endangering traffic offences",146
"2014"," Kidnapping and related offences",124
"2014"," False imprisonment",60
"2014"," Abduction of person under  years of age",33
"2014"," Human trafficking offences",31
"2014"," Robbery extortion and hijacking offences",2650
"2014"," Robbery of an establishment or institution",848
"2014"," Robbery of cash or goods in transit",26
"2014"," Robbery from the person",1656
"2014"," Blackmail or extortion",22
"2014"," Carjacking hijacking/unlawful seizure of aircraft/vessel",98
"2014"," Burglary and related offences",27682
"2014"," Aggravated burglary",315
"2014"," Burglary (not aggravated)",26724
"2014"," Possession of an article (with intent to burgle steal demand)",643
"2014"," Theft and related offences",77620
"2014"," Theft/taking of vehicle and related offences",7765
"2014"," Theft from person",5464
"2014"," Theft from shop",20876
"2014"," Other thefts handling stolen property",43515
"2014"," Fraud deception and related offences",5162
"2014"," Controlled drug offences",15863
"2014"," Importation of drugs",29
"2014"," Cultivation or manufacture of drugs",345
"2014"," Possession of drugs for sale or supply",3563
"2014"," Possession of drugs for personal use",11247
"2014"," Other drug offences",679
"2014"," Weapons and Explosives Offences",2472
"2014"," Explosives chemical weapons offences",50
"2014"," Discharging a firearm",134
"2014"," Possession of a firearm",198
"2014"," Offensive weapons offences (n.e.c.)",1977
"2014"," Fireworks offences",113
"2014"," Damage to property and to the environment",27337
"2014"," Arson",1723
"2014"," Criminal damage (not arson)",25366
"2014"," Litter offences",248
"2014"," Public order and other social code offences",32620
"2014"," Disorderly conduct",26807
"2014"," Trespass offences",2816
"2014"," Liquor licensing offences",1272
"2014"," Prostitution offences",129
"2014"," Regulated betting/money collection/trading offences",292
"2014"," Social code offences (n.e.c.)",1304
"2014"," Offences against government justice procedures and organisation of crime",9762
"2014"," Offences against government and its agents",325
"2014"," Organisation of crime and conspiracy to commit crime",4
"2014"," Perverting the course of justice",55
"2014"," Offences while in custody breach of court orders",9378
"2015"," Homicide offences",83
"2015"," Murder",30
"2015"," Manslaughter",6
"2015"," Infanticide",0
"2015"," Dangerous driving leading to death",47
"2015"," Sexual offences",2283
"2015"," Rape of a male or female",518
"2015"," Defilement of a boy or girl less than  years old",127
"2015"," Sexual offence involving mentally impaired person",23
"2015"," Aggravated sexual assault",9
"2015"," Sexual assault (not aggravated)",1395
"2015"," Other sexual offences",211
"2015"," Attempts/threats to murder assaults harassments and related offences",16877
"2015"," Murder-attempt",13
"2015"," Murder-threat",586
"2015"," Harassment and related offences",1501
"2015"," Assault causing harm poisoning",3510
"2015"," Other assault",11267
"2015"," Dangerous or negligent acts",7117
"2015"," Dangerous driving causing serious bodily harm",12
"2015"," Driving/in charge of a vehicle while over legal alcohol limit",6417
"2015"," Driving/in charge of a vehicle under the influence of drugs",220
"2015"," Endangerment with potential for serious harm/death",97
"2015"," Abandoning a child child neglect and cruelty",167
"2015"," Unseaworthy/dangerous use of boat or ship",7
"2015"," False alarm/interference with aircraft or air transport facilities",2
"2015"," Endangering traffic offences",195
"2015"," Kidnapping and related offences",153
"2015"," False imprisonment",95
"2015"," Abduction of person under  years of age",29
"2015"," Human trafficking offences",29
"2015"," Robbery extortion and hijacking offences",2574
"2015"," Robbery of an establishment or institution",928
"2015"," Robbery of cash or goods in transit",18
"2015"," Robbery from the person",1478
"2015"," Blackmail or extortion",54
"2015"," Carjacking hijacking/unlawful seizure of aircraft/vessel",96
"2015"," Burglary and related offences",26301
"2015"," Aggravated burglary",270
"2015"," Burglary (not aggravated)",25435
"2015"," Possession of an article (with intent to burgle steal demand)",596
"2015"," Theft and related offences",75732
"2015"," Theft/taking of vehicle and related offences",6455
"2015"," Theft from person",5369
"2015"," Theft from shop",22654
"2015"," Other thefts handling stolen property",41254
"2015"," Fraud deception and related offences",5781
"2015"," Controlled drug offences",15050
"2015"," Importation of drugs",19
"2015"," Cultivation or manufacture of drugs",240
"2015"," Possession of drugs for sale or supply",3366
"2015"," Possession of drugs for personal use",10931
"2015"," Other drug offences",494
"2015"," Weapons and Explosives Offences",2373
"2015"," Explosives chemical weapons offences",29
"2015"," Discharging a firearm",150
"2015"," Possession of a firearm",207
"2015"," Offensive weapons offences (n.e.c.)",1895
"2015"," Fireworks offences",92
"2015"," Damage to property and to the environment",25946
"2015"," Arson",1722
"2015"," Criminal damage (not arson)",24049
"2015"," Litter offences",175
"2015"," Public order and other social code offences",33269
"2015"," Disorderly conduct",25505
"2015"," Trespass offences",2741
"2015"," Liquor licensing offences",1081
"2015"," Prostitution offences",56
"2015"," Regulated betting/money collection/trading offences",289
"2015"," Social code offences (n.e.c.)",3597
"2015"," Offences against government justice procedures and organisation of crime",11440
"2015"," Offences against government and its agents",283
"2015"," Organisation of crime and conspiracy to commit crime",10
"2015"," Perverting the course of justice",59
"2015"," Offences while in custody breach of court orders",11088
"2016"," Homicide offences",91
"2016"," Murder",37
"2016"," Manslaughter",5
"2016"," Infanticide",0
"2016"," Dangerous driving leading to death",49
"2016"," Sexual offences",2524
"2016"," Rape of a male or female",516
"2016"," Defilement of a boy or girl less than  years old",159
"2016"," Sexual offence involving mentally impaired person",18
"2016"," Aggravated sexual assault",9
"2016"," Sexual assault (not aggravated)",1528
"2016"," Other sexual offences",294
"2016"," Attempts/threats to murder assaults harassments and related offences",16642
"2016"," Murder-attempt",24
"2016"," Murder-threat",593
"2016"," Harassment and related offences",1377
"2016"," Assault causing harm poisoning",3595
"2016"," Other assault",11053
"2016"," Dangerous or negligent acts",7689
"2016"," Dangerous driving causing serious bodily harm",9
"2016"," Driving/in charge of a vehicle while over legal alcohol limit",6934
"2016"," Driving/in charge of a vehicle under the influence of drugs",219
"2016"," Endangerment with potential for serious harm/death",103
"2016"," Abandoning a child child neglect and cruelty",263
"2016"," Unseaworthy/dangerous use of boat or ship",1
"2016"," False alarm/interference with aircraft or air transport facilities",3
"2016"," Endangering traffic offences",157
"2016"," Kidnapping and related offences",123
"2016"," False imprisonment",73
"2016"," Abduction of person under  years of age",27
"2016"," Human trafficking offences",23
"2016"," Robbery extortion and hijacking offences",2101
"2016"," Robbery of an establishment or institution",702
"2016"," Robbery of cash or goods in transit",28
"2016"," Robbery from the person",1226
"2016"," Blackmail or extortion",68
"2016"," Carjacking hijacking/unlawful seizure of aircraft/vessel",77
"2016"," Burglary and related offences",18489
"2016"," Aggravated burglary",212
"2016"," Burglary (not aggravated)",17794
"2016"," Possession of an article (with intent to burgle steal demand)",483
"2016"," Theft and related offences",64772
"2016"," Theft/taking of vehicle and related offences",4837
"2016"," Theft from person",4753
"2016"," Theft from shop",21501
"2016"," Other thefts handling stolen property",33681
"2016"," Fraud deception and related offences",4937
"2016"," Controlled drug offences",16032
"2016"," Importation of drugs",28
"2016"," Cultivation or manufacture of drugs",263
"2016"," Possession of drugs for sale or supply",3623
"2016"," Possession of drugs for personal use",11408
"2016"," Other drug offences",710
"2016"," Weapons and Explosives Offences",2133
"2016"," Explosives chemical weapons offences",14
"2016"," Discharging a firearm",100
"2016"," Possession of a firearm",200
"2016"," Offensive weapons offences (n.e.c.)",1687
"2016"," Fireworks offences",132
"2016"," Damage to property and to the environment",22198
"2016"," Arson",1603
"2016"," Criminal damage (not arson)",20429
"2016"," Litter offences",166
"2016"," Public order and other social code offences",29225
"2016"," Disorderly conduct",24100
"2016"," Trespass offences",2086
"2016"," Liquor licensing offences",905
"2016"," Prostitution offences",34
"2016"," Regulated betting/money collection/trading offences",208
"2016"," Social code offences (n.e.c.)",1892
"2016"," Offences against government justice procedures and organisation of crime",12308
"2016"," Offences against government and its agents",253
"2016"," Organisation of crime and conspiracy to commit crime",5
"2016"," Perverting the course of justice",52
"2016"," Offences while in custody breach of court orders",11998
"2017"," Homicide offences",80
"2017"," Murder",42
"2017"," Manslaughter",4
"2017"," Infanticide",0
"2017"," Dangerous driving leading to death",34
"2017"," Sexual offences",2887
"2017"," Rape of a male or female",644
"2017"," Defilement of a boy or girl less than  years old",157
"2017"," Sexual offence involving mentally impaired person",29
"2017"," Aggravated sexual assault",6
"2017"," Sexual assault (not aggravated)",1705
"2017"," Other sexual offences",346
"2017"," Attempts/threats to murder assaults harassments and related offences",18896
"2017"," Murder-attempt",14
"2017"," Murder-threat",755
"2017"," Harassment and related offences",1595
"2017"," Assault causing harm poisoning",4053
"2017"," Other assault",12479
"2017"," Dangerous or negligent acts",8372
"2017"," Dangerous driving causing serious bodily harm",14
"2017"," Driving/in charge of a vehicle while over legal alcohol limit",7380
"2017"," Driving/in charge of a vehicle under the influence of drugs",279
"2017"," Endangerment with potential for serious harm/death",111
"2017"," Abandoning a child child neglect and cruelty",383
"2017"," Unseaworthy/dangerous use of boat or ship",4
"2017"," False alarm/interference with aircraft or air transport facilities",6
"2017"," Endangering traffic offences",195
"2017"," Kidnapping and related offences",128
"2017"," False imprisonment",76
"2017"," Abduction of person under  years of age",21
"2017"," Human trafficking offences",31
"2017"," Robbery extortion and hijacking offences",2185
"2017"," Robbery of an establishment or institution",716
"2017"," Robbery of cash or goods in transit",14
"2017"," Robbery from the person",1294
"2017"," Blackmail or extortion",74
"2017"," Carjacking hijacking/unlawful seizure of aircraft/vessel",87
"2017"," Burglary and related offences",19119
"2017"," Aggravated burglary",229
"2017"," Burglary (not aggravated)",18455
"2017"," Possession of an article (with intent to burgle steal demand)",435
"2017"," Theft and related offences",69568
"2017"," Theft/taking of vehicle and related offences",4905
"2017"," Theft from person",4945
"2017"," Theft from shop",22802
"2017"," Other thefts handling stolen property",36916
"2017"," Fraud deception and related offences",5435
"2017"," Controlled drug offences",16800
"2017"," Importation of drugs",21
"2017"," Cultivation or manufacture of drugs",248
"2017"," Possession of drugs for sale or supply",3865
"2017"," Possession of drugs for personal use",12173
"2017"," Other drug offences",493
"2017"," Weapons and Explosives Offences",2376
"2017"," Explosives chemical weapons offences",34
"2017"," Discharging a firearm",93
"2017"," Possession of a firearm",207
"2017"," Offensive weapons offences (n.e.c.)",1858
"2017"," Fireworks offences",184
"2017"," Damage to property and to the environment",23225
"2017"," Arson",1702
"2017"," Criminal damage (not arson)",21366
"2017"," Litter offences",157
"2017"," Public order and other social code offences",31210
"2017"," Disorderly conduct",25356
"2017"," Trespass offences",2375
"2017"," Liquor licensing offences",830
"2017"," Prostitution offences",39
"2017"," Regulated betting/money collection/trading offences",211
"2017"," Social code offences (n.e.c.)",2399
"2017"," Offences against government justice procedures and organisation of crime",13733
"2017"," Offences against government and its agents",181
"2017"," Organisation of crime and conspiracy to commit crime",9
"2017"," Perverting the course of justice",56
"2017"," Offences while in custody breach of court orders",13487
