"Date","Location","18-24","25-44","45-64","65+","U18","Female","Male","Transgender","DNAA","DSH","DSH ","SA Only","SA/DSH","SI Only","SI/DSH","SI/SA","SI/SA/DSH","Crime","Recorded Crimes"
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Human trafficking offences",16
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Robbery extortion and hijacking offences",2796
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Robbery of an establishment or institution",988
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Robbery of cash or goods in transit",39
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Robbery from the person",1678
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Blackmail or extortion",25
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Carjacking hijacking/unlawful seizure of aircraft/vessel",66
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Burglary and related offences",26297
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Aggravated burglary",299
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Burglary (not aggravated)",25316
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Possession of an article (with intent to burgle steal demand)",682
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Theft and related offences",78428
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Theft/taking of vehicle and related offences",7358
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Theft from person",6467
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Theft from shop",20553
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Other thefts handling stolen property",44050
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Fraud deception and related offences",4788
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Controlled drug offences",15325
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Importation of drugs",44
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Cultivation or manufacture of drugs",390
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Possession of drugs for sale or supply",3241
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Possession of drugs for personal use",11160
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Other drug offences",490
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Weapons and Explosives Offences",2738
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Explosives chemical weapons offences",59
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Discharging a firearm",162
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Possession of a firearm",193
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Offensive weapons offences (n.e.c.)",2178
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Fireworks offences",146
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Damage to property and to the environment",28698
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Arson",1914
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Criminal damage (not arson)",26567
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Litter offences",217
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Public order and other social code offences",36394
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Disorderly conduct",30810
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Trespass offences",2941
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Liquor licensing offences",1378
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Prostitution offences",119
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Regulated betting/money collection/trading offences",320
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Social code offences (n.e.c.)",826
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Offences against government justice procedures and organisation of crime",9168
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Offences against government and its agents",278
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Organisation of crime and conspiracy to commit crime",4
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Perverting the course of justice",62
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79," Offences while in custody breach of court orders",8824
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Homicide offences",95
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Murder",51
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Manslaughter",7
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Infanticide",0
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Dangerous driving leading to death",37
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Sexual offences",1908
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Rape of a male or female",392
