"","Gender","Ballyfermot","North.Dublin","Pieta.House","Limerick","Tallaght","Roscrea","Cork","West","Tralee","South.East","Galway.City","Collins.Ave","Wexford"
"1","Female",56,158,216,78,123,30,185,41,65,43,0,0,1
"2","Male",49,123,171,71,77,29,122,38,24,50,1,1,1
"3","Transgender",0,1,5,0,0,0,0,0,1,2,0,0,0
