"Age","Date","Location","Suicides"
"18-24",2017,"Collins.Ave",10
"25-44",2017,"Collins.Ave",19
"45-64",2017,"Collins.Ave",3
"65+",2017,"Collins.Ave",0
"U18",2017,"Collins.Ave",13
"18-24",2013,"South.East",0
"25-44",2013,"South.East",0
"45-64",2013,"South.East",0
"65+",2013,"South.East",0
"U18",2013,"South.East",0
"18-24",2014,"South.East",0
"25-44",2014,"South.East",0
"45-64",2014,"South.East",0
"65+",2014,"South.East",0
"U18",2014,"South.East",0
"18-24",2015,"South.East",0
"25-44",2015,"South.East",0
"45-64",2015,"South.East",0
"65+",2015,"South.East",0
"U18",2015,"South.East",0
"18-24",2016,"South.East",17
"25-44",2016,"South.East",26
"45-64",2016,"South.East",20
"65+",2016,"South.East",5
"U18",2016,"South.East",60
"18-24",2017,"South.East",98
"25-44",2017,"South.East",86
"45-64",2017,"South.East",54
"65+",2017,"South.East",6
"U18",2017,"South.East",113
"18-24",2013,"Lucan",387
"25-44",2013,"Lucan",553
"45-64",2013,"Lucan",262
"65+",2013,"Lucan",22
"U18",2013,"Lucan",507
"18-24",2014,"Lucan",388
"25-44",2014,"Lucan",540
"45-64",2014,"Lucan",209
"65+",2014,"Lucan",19
"U18",2014,"Lucan",573
"18-24",2015,"Lucan",377
"25-44",2015,"Lucan",490
"45-64",2015,"Lucan",223
"65+",2015,"Lucan",20
"U18",2015,"Lucan",546
"18-24",2016,"Lucan",380
"25-44",2016,"Lucan",462
"45-64",2016,"Lucan",167
"65+",2016,"Lucan",28
"U18",2016,"Lucan",445
"18-24",2017,"Lucan",0
"25-44",2017,"Lucan",0
"45-64",2017,"Lucan",0
"65+",2017,"Lucan",0
"U18",2017,"Lucan",0
"18-24",2013,"Kerry",0
"25-44",2013,"Kerry",0
"45-64",2013,"Kerry",0
"65+",2013,"Kerry",0
"U18",2013,"Kerry",0
"18-24",2014,"Kerry",25
"25-44",2014,"Kerry",21
"45-64",2014,"Kerry",17
"65+",2014,"Kerry",4
"U18",2014,"Kerry",34
"18-24",2015,"Kerry",4
"25-44",2015,"Kerry",9
"45-64",2015,"Kerry",1
"65+",2015,"Kerry",1
"U18",2015,"Kerry",3
"18-24",2016,"Kerry",0
"25-44",2016,"Kerry",0
"45-64",2016,"Kerry",0
"65+",2016,"Kerry",0
"U18",2016,"Kerry",0
"18-24",2017,"Kerry",0
"25-44",2017,"Kerry",0
"45-64",2017,"Kerry",0
"65+",2017,"Kerry",0
"U18",2017,"Kerry",0
"18-24",2013,"Finglas",84
"25-44",2013,"Finglas",87
"45-64",2013,"Finglas",43
"65+",2013,"Finglas",9
"U18",2013,"Finglas",102
"18-24",2014,"Finglas",103
"25-44",2014,"Finglas",166
"45-64",2014,"Finglas",69
"65+",2014,"Finglas",2
"U18",2014,"Finglas",188
"18-24",2015,"Finglas",0
"25-44",2015,"Finglas",0
"45-64",2015,"Finglas",0
"65+",2015,"Finglas",0
"U18",2015,"Finglas",0
"18-24",2016,"Finglas",0
"25-44",2016,"Finglas",0
"45-64",2016,"Finglas",0
"65+",2016,"Finglas",0
"U18",2016,"Finglas",0
"18-24",2017,"Finglas",0
"25-44",2017,"Finglas",0
"45-64",2017,"Finglas",0
"65+",2017,"Finglas",0
"U18",2017,"Finglas",0
"18-24",2013,"Pieta.House",0
"25-44",2013,"Pieta.House",0
"45-64",2013,"Pieta.House",0
"65+",2013,"Pieta.House",0
"U18",2013,"Pieta.House",0
"18-24",2014,"Pieta.House",0
"25-44",2014,"Pieta.House",0
"45-64",2014,"Pieta.House",0
"65+",2014,"Pieta.House",0
"U18",2014,"Pieta.House",0
"18-24",2015,"Pieta.House",0
"25-44",2015,"Pieta.House",0
"45-64",2015,"Pieta.House",0
"65+",2015,"Pieta.House",0
"U18",2015,"Pieta.House",0
"18-24",2016,"Pieta.House",0
"25-44",2016,"Pieta.House",0
"45-64",2016,"Pieta.House",0
"65+",2016,"Pieta.House",0
"U18",2016,"Pieta.House",0
"18-24",2017,"Pieta.House",336
"25-44",2017,"Pieta.House",417
"45-64",2017,"Pieta.House",171
"65+",2017,"Pieta.House",20
"U18",2017,"Pieta.House",570
"18-24",2013,"Wexford",0
"25-44",2013,"Wexford",0
"45-64",2013,"Wexford",0
"65+",2013,"Wexford",0
"U18",2013,"Wexford",0
"18-24",2014,"Wexford",0
"25-44",2014,"Wexford",0
"45-64",2014,"Wexford",0
"65+",2014,"Wexford",0
"U18",2014,"Wexford",0
"18-24",2015,"Wexford",0
"25-44",2015,"Wexford",0
"45-64",2015,"Wexford",0
"65+",2015,"Wexford",0
"U18",2015,"Wexford",0
"18-24",2016,"Wexford",0
"25-44",2016,"Wexford",0
"45-64",2016,"Wexford",0
"65+",2016,"Wexford",0
"U18",2016,"Wexford",0
"18-24",2017,"Wexford",29
"25-44",2017,"Wexford",31
"45-64",2017,"Wexford",21
"65+",2017,"Wexford",2
"U18",2017,"Wexford",32
"18-24",2013,"North.West",0
"25-44",2013,"North.West",0
"45-64",2013,"North.West",0
"65+",2013,"North.West",0
"U18",2013,"North.West",0
"18-24",2014,"North.West",0
"25-44",2014,"North.West",0
"45-64",2014,"North.West",0
"65+",2014,"North.West",0
"U18",2014,"North.West",0
"18-24",2015,"North.West",0
"25-44",2015,"North.West",0
"45-64",2015,"North.West",0
"65+",2015,"North.West",0
"U18",2015,"North.West",0
"18-24",2016,"North.West",0
"25-44",2016,"North.West",0
"45-64",2016,"North.West",0
"65+",2016,"North.West",0
"U18",2016,"North.West",0
"18-24",2017,"North.West",38
"25-44",2017,"North.West",50
"45-64",2017,"North.West",25
"65+",2017,"North.West",2
"U18",2017,"North.West",26
"18-24",2013,"Midlands",0
"25-44",2013,"Midlands",0
"45-64",2013,"Midlands",0
"65+",2013,"Midlands",0
"U18",2013,"Midlands",0
"18-24",2014,"Midlands",0
"25-44",2014,"Midlands",0
"45-64",2014,"Midlands",0
"65+",2014,"Midlands",0
"U18",2014,"Midlands",0
"18-24",2015,"Midlands",0
"25-44",2015,"Midlands",0
"45-64",2015,"Midlands",0
"65+",2015,"Midlands",0
"U18",2015,"Midlands",0
"18-24",2016,"Midlands",0
"25-44",2016,"Midlands",0
"45-64",2016,"Midlands",0
"65+",2016,"Midlands",0
"U18",2016,"Midlands",0
"18-24",2017,"Midlands",16
"25-44",2017,"Midlands",12
"45-64",2017,"Midlands",7
"65+",2017,"Midlands",0
"U18",2017,"Midlands",18
"18-24",2013,"Tralee",0
"25-44",2013,"Tralee",0
"45-64",2013,"Tralee",0
"65+",2013,"Tralee",0
"U18",2013,"Tralee",0
"18-24",2014,"Tralee",0
"25-44",2014,"Tralee",0
"45-64",2014,"Tralee",0
"65+",2014,"Tralee",0
"U18",2014,"Tralee",0
"18-24",2015,"Tralee",35
"25-44",2015,"Tralee",61
"45-64",2015,"Tralee",37
"65+",2015,"Tralee",10
"U18",2015,"Tralee",42
"18-24",2016,"Tralee",61
"25-44",2016,"Tralee",87
"45-64",2016,"Tralee",62
"65+",2016,"Tralee",4
"U18",2016,"Tralee",82
"18-24",2017,"Tralee",73
"25-44",2017,"Tralee",125
"45-64",2017,"Tralee",61
"65+",2017,"Tralee",10
"U18",2017,"Tralee",95
"18-24",2013,"Galway.City",0
"25-44",2013,"Galway.City",0
"45-64",2013,"Galway.City",0
"65+",2013,"Galway.City",0
"U18",2013,"Galway.City",0
"18-24",2014,"Galway.City",0
"25-44",2014,"Galway.City",0
"45-64",2014,"Galway.City",0
"65+",2014,"Galway.City",0
"U18",2014,"Galway.City",0
"18-24",2015,"Galway.City",0
"25-44",2015,"Galway.City",0
"45-64",2015,"Galway.City",0
"65+",2015,"Galway.City",0
"U18",2015,"Galway.City",0
"18-24",2016,"Galway.City",0
"25-44",2016,"Galway.City",0
"45-64",2016,"Galway.City",0
"65+",2016,"Galway.City",0
"U18",2016,"Galway.City",0
"18-24",2017,"Galway.City",2
"25-44",2017,"Galway.City",6
"45-64",2017,"Galway.City",4
"65+",2017,"Galway.City",0
"U18",2017,"Galway.City",14
