,Lucan,B'Fermot,Tallaght,Finglas,Limerick,Roscrea,Total
U18,507,160,81,102,137,35,1022
18-24,387,178,65,84,148,17,879
25-44,553,257,81,87,240,25,1243
45-64,262,113,39,43,119,20,596
65+,22,8,4,9,11,4,58
Total,1731,716,270,325,655,101,3798
