,Ballyfermot,North Dublin,Pieta House,Limerick,Tallaght,Roscrea,Cork,West,Tralee,South East,Galway City,Collins Avenue,Wexford,Total
Female,56,158,216,78,123,30,185,41,65,43,0,0,1,996
Male,49,123,171,71,77,29,122,38,24,50,1,1,1,757
Transgender,0,1,5,0,0,0,0,0,1,2,0,0,0,9
Total,105,282,392,149,200,59,307,79,90,95,1,1,2,1762
