,Ballyfermot,North Dublin,Pieta House,Limerick,Tallaght,Roscrea,Cork,West,Tralee,South East,Galway City,Collins Avenue,Wexford,Total
Female,79,142,242,90,112,23,183,32,49,42,19,11,31,1055
Male,56,105,177,62,66,18,139,42,37,48,6,8,24,788
Transgender,3,0,2,0,2,0,2,1,0,1,0,0,0,11
Total,138,247,421,152,180,41,324,75,86,91,25,19,55,1854
