,Ballyfermot,North Dublin,Lucan,Limerick,Tallaght,Roscrea,Cork,West,Tralee,Kerry
Female,332,341,942,278,459,75,427,154,120,14
Male,241,243,712,218,266,86,344,120,65,4
Transgender,0,0,2,0,1,0,1,0,0,0
Total,573,584,1656,496,726,161,772,274,185,18
