"","Cause","Lucan","Ballyfermot","Tallaght","North.Dublin","Limerick","Roscrea","West","Cork","Tralee"
"1","DSH",14,7,7,26,5,0,0,11,0
"2","SA/DSH",0,1,0,1,3,0,1,0,1
"3","SA Only",1,2,0,0,2,1,3,0,0
"4","SI/SA/DSH",40,19,32,18,21,9,5,24,11
"5","SI/DSH",83,16,34,40,22,9,12,31,15
"6","SI/SA",69,46,31,33,23,5,17,64,8
"7","SI Only",209,45,53,88,47,6,32,74,23
"8","DNAA",12,4,31,5,29,7,16,56,19
