,Lucan,Ballyfermot,Tallaght,North Dublin,Limerick,Roscrea,West,Cork,Tralee
Female,234,74,107,123,95,21,47,147,43
Male,192,66,81,88,55,16,39,112,33
Transgender,2,0,0,0,2,0,0,1,1
Total,428,140,188,211,152,37,86,260,77
