,Lucan,Ballyfermot,Tallaght,North Dublin,Limerick,Roscrea,West,Cork,Tralee,South East,Collins Ave,Total
U18,117,22,48,95,30,9,15,87,30,49,2,504
18-24,93,32,31,41,31,19,21,82,18,15,0,383
25-44,105,25,59,66,39,7,27,71,28,20,1,448
45-64,34,16,26,14,23,5,8,36,17,14,0,193
65+,6,3,2,2,0,1,0,1,1,3,0,19
Total,355,98,166,218,123,41,71,277,94,101,3,1547
