,Lucan,Ballyfermot,Tallaght,North Dublin,Limerick,Roscrea,West,Cork,Tralee
Female,255,84,119,110,83,21,41,135,47
Male,144,58,77,67,49,25,43,93,17
Transgender,3,0,0,0,0,1,0,0,0
Total,402,142,196,177,132,47,84,228,64
