"","Age","Ballyfermot","North.Dublin","Pieta.House","Limerick","Tallaght","Roscrea","Cork","West","Tralee","South.East","Collins.Ave","Wexford","North.West","Midlands"
"1","U18",22,55,115,22,33,15,48,12,16,15,3,4,8,2
"2","18-24",45,71,82,35,45,15,73,11,22,24,2,7,19,1
"3","25-44",41,68,110,55,56,15,77,21,33,24,5,4,27,0
"4","45-64",17,24,41,28,19,8,24,13,19,14,1,7,17,0
"5","65+",2,0,5,2,1,1,2,1,3,0,0,0,0,0
