,Lucan,Ballyfermot,Tallaght,Dublin North,Limerick,Roscrea,West,Cork,Tralee
DSH,14,7,7,26,5,0,0,11,0
SA/DSH,0,1,0,1,3,0,1,0,1
SA Only,1,2,0,0,2,1,3,0,0
SI/SA/DSH,40,19,32,18,21,9,5,24,11
SI/DSH,83,16,34,40,22,9,12,31,15
SI/SA,69,46,31,33,23,5,17,64,8
SI Only,209,45,53,88,47,6,32,74,23
DNAA,12,4,31,5,29,7,16,56,19
Total,428,140,188,211,152,37,86,260,77
