,Ballyfermot,North Dublin,Pieta House,Limerick,Tallaght,Roscrea,Cork,West,Tralee,South East,Collins Avenue,Wexford,North West,Midlands,Total
Female,75,166,189,76,94,20,164,42,66,56,5,16,34,30,1033
Male,67,115,159,56,53,24,124,42,29,36,9,20,35,20,789
Transgender,1,1,0,0,0,0,0,0,0,2,0,0,1,0,5
Total,143,282,348,132,147,44,288,84,95,94,14,36,70,50,1827
